is_write_op,time_in_nanoseconds
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,6424
false,1990
true,24219
false,2044
true,25598
false,2156
false,0
false,0
false,3032
false,1877
false,2369
true,3535
true,2765
false,1478
true,2582
false,2129
true,3042
false,52119
false,2310
false,3615
true,7641
true,24978
true,3412
false,4286
true,2532
true,2670
false,3304
false,2075
true,2735
true,3762
false,1379
false,3287
true,3082
true,25975248
true,3828
true,25942605
false,2457
true,3561
true,3515
true,14535893
true,3757
true,13731310
false,2597
false,2664
false,2146
false,2219
true,14389062
true,4110
true,3088
true,16937327
false,2464
true,3357
true,4534
true,3955
true,8533689
false,2673
false,2159
true,2594
true,4148
false,2898
false,2964
false,2676
false,1983
true,8012957
true,3568
false,1578
true,12248629
false,3636
true,10009
false,1791
false,3933
false,4640
false,3480
true,2786
false,1919
true,2098
false,1508
true,2140
false,1718
true,2448
false,3464
true,3256
true,7339
false,5671
false,2100
true,6306
true,3802
false,2288
false,1379
true,2549
false,2213
false,2015
false,1696
false,1549
false,2018
false,2438
false,1711
false,1549
false,1842
true,3856
false,2354
true,2116
true,2441
false,1636
false,1574
true,41770
true,2297
false,2067
true,3818
false,2305
false,1588
false,2020
true,3160
true,2488
true,1995
true,1933
true,1708
true,1599
false,1956
false,1685
true,1825
false,1809
true,2302
true,1906
false,1732
true,1884
true,3418
false,1751
true,2614
true,2316
true,3824
true,3164
false,2100
true,3970
false,2850
true,3088
true,3420
false,2612
true,2246
false,2148
false,1507
false,1615
false,2061
true,2396
false,1566
true,3599
true,2671
false,2698
true,1580284
true,2398
true,2737
true,4844
false,2334
false,1751
false,2201
true,3624
false,1897
true,2468
true,2338
false,1968
false,1924
true,2647
true,2435
true,2743
true,3818
false,2318
true,2445
false,1999
false,1714
true,2741
true,3108
false,1943
false,3387
true,3110
true,2932
false,1943
false,3666
true,3178
false,1947
false,1450
false,2765
false,2367
false,1914
true,3080
true,3428
false,2559
false,1896
true,9218
false,2509
false,1781
false,1837
true,3018
false,1737
true,5745
true,2362
false,1877
false,1922
false,2345
true,4144
true,2790
true,2289
true,2500
false,1959
false,1598
false,1495
true,2626
true,5923
false,2392
false,1680
false,1619
false,1793
false,2167
false,1699
true,3422
true,2694
false,1827
false,5871
false,1817
false,1585
true,2562
true,2516
false,1906
false,1596
false,1534
true,2623
false,1587
true,3043
false,2066
false,1675
false,11479
false,1817
false,2310
true,3214
false,2013
true,2693
false,1702
true,2700
true,2668
false,1780
false,1682
true,3667
true,2839
true,4245
false,2407
true,3436
true,2411
false,1711
false,1826
false,1520
true,3369
false,2440
false,1866
false,965109
false,1694
false,1313
false,2328
false,2934
false,2708
false,2903
false,1846
true,3455
true,2743
false,3229
false,2549
false,1691
true,3804
true,3849
true,2032
false,1540
true,2007
false,1189
false,1136
true,4670
false,1354
false,2563
true,2782
false,2075
false,2074
false,2608
false,2056
true,2538
false,2815
true,3010
true,2236
false,2401
true,3414
false,2617
false,2360
true,3332
false,1499
true,3845
true,3875
true,2883
true,3152
true,2926
false,2029
false,1649
true,2028
false,1971
false,1149
true,1532
true,1855
false,980
true,1957
true,1669
true,1673
true,1591
false,957
true,1527
false,1862
true,1598
true,1568
true,1484
false,829
true,1628
true,1326
false,2267
false,1087
true,1612
false,898
true,1517
true,1473
false,906
false,1670
true,1651
true,1471
true,1548
false,1721
false,1816
false,1100
true,3222
false,3099
true,3007
true,190341
true,2216
true,2030
true,2120
false,1406
false,1205
false,1264
true,2555
true,2167
false,2655
true,2636
true,12356
true,1960
true,2092
false,1491
true,1960
true,1674
true,1860
true,1707
false,1108
true,1865
true,1868
true,1867
false,1166
true,2084
true,2409
true,2204
false,1292
false,934
false,2309
false,1844
false,1811
true,2111
true,1926
false,2070
false,1342
false,1179
false,935
false,1942
true,1944
false,1939
true,1857
true,1902
true,1874
false,2296
false,1949
true,2001
false,2076
false,1673
false,1795
false,941
false,1791
true,1818
false,1042
false,1816
true,1809
false,1888
true,1824
false,1852
true,4553
false,1866
true,1989
false,1295
false,2058
true,1786
false,1304
false,1226
true,4145
false,1324
false,1085
false,4743
false,2344
false,1852
false,1076
false,1967
true,5677
true,2886
false,1435
false,1424
false,2841
false,3849
true,97354
false,10564
false,3006
true,5841640
true,3770
true,2227
false,4189
false,1597
false,2366
false,2820
true,2481
true,2459
true,2409
true,1931
false,1253
true,3707
false,2159
false,1469
false,881
false,2883
false,1126
true,2855
false,1419
true,2137
true,2091
false,1722
true,2915
true,2619
false,3064
true,2101
false,2375
true,2550
false,1428
false,2243
true,2271
true,3068
true,15227753
true,3005
false,1574
true,2264
false,1274
false,933
true,2120
false,2683
false,2229
true,6518
true,2321
true,1912
false,1370
true,2233
false,1357
true,2184
false,2497
false,2413
true,2053
true,3109
true,3615
true,2263
true,7226
true,1911
true,1774
true,2302
false,2852
true,1546
true,1224
false,848
false,1794
false,671
false,779
false,1346
true,16906480
false,2645
true,5727208
true,16263551
false,1302
true,15164162
true,14466955
true,14468577
false,1459
true,14505608
true,2481
false,2365
true,15114054
true,15356054
false,1420
true,15483261
true,2045
true,1707
true,1345
false,1397
false,865
true,1405
true,1822
false,908
false,2192
false,1502
false,898
true,1419
false,774
false,1699
true,1461
true,1448
false,1593
true,1365
true,1202
true,1244
true,1241
true,1765
true,1950
false,1970
true,1625
false,1345
false,778
false,901
true,1659
true,1359
false,1983
true,1497
true,1324
true,1278
false,1782
true,1287
false,1837
true,1253
true,1337
true,1269
true,1322
true,1247
false,1761
false,901
true,1600
true,1552
true,1375
true,1257
false,1017
false,1946
true,1518
false,1717
true,1489
true,1377
true,1453
true,1249
false,977
false,1790
true,1462
false,1584
false,1387
false,741
true,1539
true,1947
false,1800
false,1429
true,1261
false,1574
true,1538
false,1441
true,1054
true,1058
true,975
false,1231
false,1253
false,532
false,613
true,1111
true,1316
true,1194
false,1376
false,2703
false,514
true,1183
true,1101
true,1019
false,1323
true,821
false,1239
true,966
true,903
false,608
false,1091
true,1255
false,673
true,1190
true,1217
false,726
true,1028
true,861
true,4416
true,908
true,1030
true,1140
false,646
false,1288
true,1178
true,1014
true,1277
false,1500
true,1190
false,1288
false,975
false,1575
true,1260
true,1176
