is_write_op,time_in_nanoseconds
false,0
false,0
false,0
false,0
false,0
false,0
false,0
true,6733
true,2483
false,5605
false,811
false,728
true,2143
false,749
false,733
false,762
false,723
true,2156
false,731
false,833
false,791
false,719
true,2258
true,2074
false,841
true,2719
true,2258
true,2049
true,2159
true,2473
false,774
false,733
true,2558
true,2632
false,713
true,5993
true,2064
true,1985
true,1967
false,720
true,2148
true,2150
true,2037
false,726
true,2311
false,776
false,721
true,2504
false,6173
false,792
true,2471
false,748
true,2234
true,2058
false,659
false,653
true,2758
true,2061
false,761
false,745
false,792
true,2180
true,2447
false,687
true,2138
true,2211
false,642
false,650
true,2693
false,754
true,2410
true,2275
false,700
true,2101
true,1992
false,623
true,2008
true,2172
false,729
false,672
true,2173
false,629
true,2335
false,679
true,2273
false,655
true,2330
true,13414
false,656
false,660
true,2112
false,656
true,2148
true,2155
false,677
false,665
true,2120
true,1945
true,2095
false,639
false,657
true,5161
true,2067
true,2003
true,2293
false,662
true,2023
true,2202
false,617
false,592
false,625
false,715
false,677
false,606
false,662
false,625
false,651
false,621
false,608
false,611
true,6399
false,629
true,1781
true,11399
false,720
true,1923
false,709
false,665
true,2135
true,1910
false,686
false,669
true,1630
false,738
false,681
false,659
false,609
false,599
false,651
true,1912
false,647
false,616
true,1765
false,629
false,635
true,1621
true,1557
true,9862
false,743
false,648
true,1821
true,1682
false,693
false,611
false,672
true,1652
true,1635
true,4441
true,1552
false,635
false,677
false,672
false,728
false,576
false,637
false,700
false,636
false,604
false,679
false,681
false,642
true,1677
true,1616
true,1542
true,1604
true,1457
true,1767
true,1640
false,686
false,599
false,591
true,1650
false,648
true,1592
false,643
true,1476
true,1652
true,1600
false,639
true,1707
false,674
true,1618
false,693
false,719
true,1720
true,1516
true,1746
false,691
false,712
false,630
true,1437
false,696
false,603
false,638
true,7926
true,1591
true,1412
false,637
true,2098
true,1492
true,1548
false,678
false,682
true,3951
false,639
false,575
false,631
true,1508
true,1649
true,1719
true,1711
true,4453
false,601
false,629
false,707
true,1748
false,684
true,1435
true,1698
true,1367
false,627
true,1694
false,701
false,601
true,1595
false,644
false,697
false,557
false,526
true,1541
false,615
false,698
true,1675
true,1523
false,694
true,1494
true,1555
false,596
true,1471
false,1858
false,658
true,1494
true,1625
true,1601
false,644
false,677
false,681
false,719
false,703
true,1762
false,726
false,604
false,631
false,594
true,1654
true,1774
false,631
false,677
false,624
false,621
false,579
false,542
true,1591
true,1464
false,771
false,644
false,597
false,604
true,2206
true,1462
true,1517
true,1736
false,806
true,1727
true,1691
false,644
false,712
true,1717
false,727
false,651
false,622
true,1524
true,1717
true,1764
false,704
true,1621
true,1744
true,1699
true,1461
true,1736
false,750
false,740
false,641
false,573
true,1545
false,637
true,1579
true,1492
false,681
false,536
false,590
false,657
false,580
true,1579
true,4489
false,677
false,564
true,4849
true,1583
true,1471
true,1739
true,395038
false,768
true,1675
true,1466
true,1578
true,1559
true,1648
false,702
true,4473
false,710
false,538
false,625
true,1581
false,618
true,4302
true,1559
false,700
false,711
true,1628
false,608
false,569
true,1573
true,1539
true,1670
true,1609
true,1570
true,1487
false,727
false,708
false,572
true,5122
false,650
true,1513
true,1560
false,665
true,1650
true,1760
true,1475
true,1638
false,630
true,4170
false,686
true,1673
true,1563
true,1584
false,696
false,590
false,593
true,4294
false,644
false,587
true,4245
false,667
false,615
true,5568
true,1884
false,647
false,630
true,1537
true,4070
true,1668
true,1741
true,1631
false,675
true,1740
true,1520
true,1593
true,1698
false,646
false,617
true,1428
true,1575
true,1697
false,623
true,2627
false,773
true,1694
false,649
false,564
false,518
false,518
true,1598
true,1611
false,660
true,4488
false,667
true,1478
false,626
false,554
true,1556
true,1566
true,1523
true,1589
true,1531
true,1675
false,682
false,528
false,550
true,1626
true,4241
false,684
true,1593
false,644
true,1445
true,4575
false,660
true,1577
true,1574
false,661
false,574
false,615
false,575
false,562
false,586
true,1553
true,4007
false,667
false,533
true,4264
false,676
false,639
true,7821
false,651
true,1689
false,698
false,579
false,552
false,613
false,693
true,1904
true,1898
false,706
true,4847
true,1581
false,665
false,595
true,1679
true,4353
true,1673
true,4429
false,711
false,603
false,552
true,1867
false,616
true,1616
true,3154
false,731
false,520
false,529
true,4238
false,656
true,1569
true,1639
true,1499
false,644
false,545
false,564
true,1621
true,1745
true,1652
false,656
false,603
false,588
false,578
true,1637
false,673
false,556
true,4254
true,1627
false,640
true,1641
true,1506
true,1851
false,639
false,580
true,1625
true,4288
true,1779
false,679
true,1780
true,1494
false,837
true,1549
false,649
true,1746
false,677
true,1818
false,1614
true,5969
true,1804
false,791
false,1875
true,1891
true,1682
false,679
false,632
false,507
true,1563
false,583
false,526
true,1727
true,1699
true,1776
true,1786
false,681
true,6773
true,6085
true,1594
true,4310
true,1524
false,613
false,603
true,1685
false,578
true,1477
true,4304
true,1574
false,608
true,1551
true,4675
true,1561
false,588
true,1628
true,4231
false,606
false,510
true,3343
false,582
true,1725
false,602
true,1657
false,559
false,559
false,449
false,432
false,496
false,493
false,407
true,1828
false,646
false,510
false,457
true,4735
false,598
false,433
false,611
true,1637
false,534
true,1743
false,568
true,2157
true,1645
false,712
true,1681
true,1778
false,625
true,4512
false,614
true,1361
true,1489
false,641
true,1812
false,623
true,4527
true,1536
true,1520
false,576
false,571
true,1617
false,581
false,537
false,502
false,538
false,481
true,1696
true,4256
true,1565
false,630
true,1658
false,585
true,1489
true,2678
false,616
true,1633
true,1611
true,1590
true,1685
false,679
true,1730
true,4328
true,1581
false,593
false,512
false,555
true,4673
true,1754
true,4487
false,594
false,513
true,1624
false,617
false,486
false,494
true,1511
true,1527
true,1388
true,1590
true,5002
false,660
true,4525
false,677
false,578
true,4419
false,693
false,566
true,1840
false,608
true,4691
false,881
false,559
true,1694
false,719
false,467
false,527
false,580
false,526
false,474
true,1709
false,878
true,1819
false,648
false,551
true,1663
true,4456
true,1692
false,682
true,1431
false,616
false,582
true,1575
true,1496
true,4169
false,688
true,1409
false,658
true,1464
true,17151
true,4973
true,1429
false,736
false,583
false,508
false,463
true,1634
false,620
true,4545
false,601
true,4417
true,1563
false,609
true,1473
false,723
true,1492
false,654
true,1746
false,650
true,1436
true,10725
true,1418
false,663
false,571
true,1502
true,1508
true,4487
false,661
false,594
true,4224
false,648
false,566
false,562
true,1762
true,2016
