is_write_op,time_in_nanoseconds
false,0
true,11125
false,5940
false,1687
false,170349
true,2328
false,1783
false,1549
false,1550
false,1459
false,1506
true,1959
false,1572
false,1550
false,1631
false,1572
false,1475
false,1407
false,1583
true,1940
false,1557
false,1739
false,1520
false,1409
false,1389
false,1732
false,1503
false,1532
false,1449
false,1508
false,1475
false,1510
false,1625
false,1584
false,1639
true,2158
false,1518
false,1509
false,1763
false,1471
false,1467
false,1438
false,1421
false,1557
false,1569
false,1416
false,1591
false,1513
false,1402
false,1496
false,1460
false,1494
false,1538
false,1455
false,1506
false,1412
false,1660
false,1593
false,1526
false,1686
false,1486
false,1468
false,2077
false,1551
false,1599
false,1508
false,1466
false,1450
false,1423
false,1558
false,1468
true,14957
false,1598
false,1480
false,1461
false,1709
false,1403
false,1536
false,1490
false,1516
false,1572
false,1437
false,1486
false,1478
true,2117
false,1619
false,1465
false,1456
false,1416
false,1456
false,1599
false,1452
false,1422
false,1461
false,1416
false,1393
false,1502
false,1586
false,1585
false,1463
false,1442
false,1574
false,1497
true,1963
false,1539
false,1459
false,1424
false,1468
false,1487
false,1472
false,1426
false,1327
false,3332
false,1442
false,1811
true,1926
false,1628
false,1524
false,1541
true,1651
false,1593
false,1413
false,1480
false,3240
false,1426
false,3282
false,1574
false,1553
false,1766
false,1415
false,1404
false,1447
false,1430
false,1431
false,1419
false,1393
false,1339
false,1386
true,1961
true,1672
false,2506
false,2450
false,1569
false,1480
false,1336
false,1319
false,1443
true,3042
false,1645
false,1340
false,1365
false,1381
false,1377
false,1485
false,1337
false,1290
false,1337
false,1308
true,1751
false,1480
false,1656
false,1546
false,1343
false,1292
false,1358
false,1304
false,1392
false,1701
false,1365
false,1327
false,1443
false,1508
false,1365
false,1365
false,1304
false,1607
false,1353
false,1331
false,1270
false,1327
false,1353
false,1314
false,1264
false,1320
false,1332
false,1299
false,1300
false,1281
false,1398
false,1321
true,2097
false,1474
false,1506
true,1866
false,1613
false,1231
false,1335
false,1508
false,1333
false,1341
false,1271
false,1336
true,1791
false,1303
false,1384
false,1382
false,1197
false,1234
false,1302
false,1207
false,1354
false,1266
false,1339
false,1373
false,1401
false,1226
false,1245
false,1367
false,1491
false,1453
false,1329
false,1259
false,1280
false,1330
false,1344
false,1289
false,1398
false,1165
false,1271
false,1150
true,1842
false,1262
false,1302
false,1240
false,1275
false,1329
false,1231
false,1292
false,1240
false,1232
false,3029
false,1285
false,1238
false,1240
false,1271
false,1341
false,1190
false,1219
