number_of_goroutines,memory_size_in_K
0,14388
0,14432
0,14524
0,14452
0,14268
0,14380
0,14580
0,13960
0,14784
0,15252
0,14332
0,14280
0,13704
0,14856
0,14808
0,13844
0,15388
0,14700
0,15120
0,14300
0,14740
0,14660
0,14720
0,13736
0,14724
0,14164
0,14772
0,14508
0,14280
0,14348
0,14420
0,14268
0,15244
0,14240
0,14708
0,14756
0,13960
0,14516
0,14404
0,14712
0,14152
0,14940
0,15100
0,13892
0,14888
0,13744
0,14676
0,14192
0,14376
0,14100
0,14588
0,14564
0,14136
0,15220
0,15208
0,14556
0,14176
0,14788
0,14604
0,14132
0,15144
0,14748
0,14236
0,14636
0,14472
0,14644
0,14064
0,14712
0,15192
0,14008
0,15264
0,14244
0,14616
0,15032
0,14736
0,14736
0,14616
0,15760
0,15212
0,15364
0,14796
0,14864
0,14908
0,15156
0,14864
0,14612
0,14636
0,14956
0,14740
0,15324
0,14908
0,14800
0,14240
0,14308
0,14192
0,14324
0,15064
0,14592
0,14484
0,13872
1,14628
1,14476
1,14952
1,14384
1,14856
1,14352
1,14652
1,14976
1,14100
1,14472
1,15132
1,15660
1,14160
1,14464
1,14416
1,14756
1,13980
1,15028
1,14616
1,14528
1,16148
1,14080
1,15296
1,14412
1,14276
1,14420
1,13528
1,14516
1,14928
1,14252
1,14392
1,14664
1,14228
1,14148
1,15552
1,13912
1,16204
1,15404
1,14008
1,13936
1,14540
1,14240
1,14568
1,14204
1,13916
1,14544
1,14744
1,15040
1,14248
1,14116
1,14068
1,14464
1,15072
1,14708
1,14276
1,14332
1,14636
1,14880
1,14656
1,16416
1,15728
1,14084
1,15484
1,14392
1,14100
1,14544
1,14592
1,14356
1,14700
1,14352
1,14988
1,14448
1,15892
1,13940
1,13780
1,14864
1,14776
1,14176
1,14432
1,15064
1,14304
1,14724
1,14192
1,15016
1,14732
1,14752
1,14296
1,14776
1,14248
1,14652
1,15076
1,15772
1,15144
1,15596
1,14528
1,13956
1,14380
1,14672
1,14852
1,14920
2,14556
2,14672
2,14144
2,14840
2,14696
2,14656
2,14052
2,14432
2,16476
2,14332
2,14668
2,14224
2,14828
2,14488
2,14864
2,14904
2,14096
2,13956
2,14600
2,14944
2,14924
2,14868
2,14732
2,14516
2,14312
2,15340
2,14348
2,14628
2,17828
2,14228
2,14888
2,13880
2,14764
2,14696
2,14372
2,14328
2,14688
2,13912
2,14288
2,14500
2,14664
2,14852
2,15896
2,14468
2,14856
2,15032
2,14172
2,14144
2,15564
2,14364
2,14928
2,14960
2,14492
2,14828
2,14616
2,14740
2,14280
2,14808
2,15132
2,14904
2,14400
2,14696
2,14256
2,15052
2,14752
2,15116
2,14720
2,14188
2,14260
2,14916
2,14592
2,14472
2,14764
2,14220
2,15252
2,14592
2,14176
2,13992
2,14884
2,15336
2,14172
2,14092
2,14472
2,14100
2,14596
2,14748
2,14120
2,14984
2,14108
2,14292
2,14224
2,14372
2,14764
2,13776
2,14160
2,14536
2,15276
2,14272
2,14096
2,15524
4,14684
4,14340
4,14328
4,14188
4,14496
4,15000
4,14412
4,14704
