number_of_threads,memory_size_in_K
0,25040
0,24836
0,24932
0,24720
0,24712
0,24664
0,24612
0,24756
0,24720
0,24684
0,24764
0,24872
0,24828
0,24604
0,24560
0,24832
0,24928
0,24888
0,24560
0,24676
0,24920
0,24856
0,24792
0,25512
0,24792
0,24920
0,24872
0,24740
0,24864
0,24668
0,24796
0,25492
0,24584
0,24660
0,24888
0,24676
0,24720
0,24632
0,24808
0,24684
0,24772
0,24704
0,24876
0,24628
0,24812
0,24856
0,24584
0,24888
0,24656
0,24956
0,24548
0,24764
0,24696
0,24736
0,24660
0,24920
0,24656
0,24816
0,24832
0,24712
0,24960
0,24768
0,25300
0,24692
0,24640
0,24760
0,24736
0,25472
0,24600
0,24668
0,24764
0,24828
0,24596
0,24660
0,24736
0,24760
0,24804
0,24616
0,24700
0,24616
0,24780
0,24560
0,24756
0,24720
0,24564
0,24724
0,24728
0,24716
0,24608
0,24592
0,24700
0,24660
0,24808
0,24608
0,24868
0,24916
0,24900
0,24816
0,24740
0,24848
1,24816
1,24680
1,24780
1,24892
1,24612
1,24696
1,24804
1,24720
1,24688
1,24816
1,24764
1,24736
1,24684
1,24736
1,24708
1,24524
1,24644
1,24900
1,24760
1,24940
1,25464
1,24680
1,24952
1,24484
1,24676
1,24912
1,24772
1,24696
1,24524
1,24716
1,24732
1,24864
1,24656
1,25412
1,24984
1,24888
1,24744
1,24692
1,24760
1,25568
1,24880
1,25364
1,24752
1,24776
1,24872
1,24640
1,24580
1,24836
1,24804
1,24844
1,24776
1,25352
1,24788
1,24660
1,24588
1,24684
1,24764
1,24908
1,24852
1,24756
1,24756
1,24792
1,24836
1,24824
1,24768
1,24952
1,24704
1,24672
1,24896
1,24720
1,24692
1,24992
1,24808
1,24524
1,24836
1,25004
1,24744
1,24796
1,24676
1,24804
1,24860
1,24832
1,24772
1,24804
1,24772
1,24284
1,24808
1,24668
1,24868
1,24688
1,24668
1,24732
1,24632
1,24660
1,24784
1,24704
1,24608
1,24636
1,24776
1,24672
2,24896
2,25460
2,24652
2,24760
2,24776
2,25000
2,24824
2,24740
2,24868
2,24804
2,24492
2,24932
2,24836
2,24736
2,24664
2,24800
2,24676
2,24712
2,24708
2,24696
2,24772
2,24796
2,24596
2,24872
2,24692
2,24828
2,24708
2,24880
2,24824
2,24796
2,24808
2,24708
2,25292
2,24992
2,24788
2,25556
2,24804
2,24840
2,24672
2,24880
2,24788
2,24812
2,24816
2,24500
2,24824
2,24972
2,24840
2,24928
2,24724
2,24924
2,24876
2,24644
2,24876
2,24652
2,24820
2,24908
2,24768
2,24972
2,24784
2,24960
2,24856
2,24724
2,24804
2,24708
2,24876
2,24888
2,24912
2,24936
2,24700
2,24768
2,24676
2,24872
2,24772
2,24740
2,24880
2,24520
2,24736
2,24792
2,24692
2,24704
2,24824
2,24852
2,24764
2,24844
2,24724
2,24760
2,24604
2,24796
2,24712
2,24808
2,24964
2,24900
