is_write_op,time_in_nanoseconds
true,4573
true,3695
true,8361
true,3840
true,28774
true,8198
true,5476
false,2801
true,5761
true,7640
true,5469
true,4910
false,2628
false,2390
true,5266
false,2519
true,7489
true,5233
true,50443
false,14278
false,3437
false,3286
true,7652
true,7045
false,2615
false,2408
false,3531
false,3341
false,6030
false,0
false,4327
true,8439
false,4008
true,9282
true,7295
false,3944
true,10646
false,3608
true,5891
false,2851
true,7354
true,7120
false,3564
true,16551
false,3113
false,2530
false,2376
true,5808
true,4857
false,2300
false,2745
false,2245
true,5119
true,5177
false,2599
false,3365
true,5396
false,2593
true,5207
false,2577
true,4261
false,6841
true,4786
true,3923
true,6444
true,3925
true,4229
false,2446
false,2258
true,4361
true,3871
false,2322
false,3477
true,5218
true,7034
false,3347
false,2426
true,5355
false,2422
true,5490
true,4480
false,2480
true,4472
true,4185
true,142701
true,3918
false,2253
false,2726
true,4325
true,6188
true,48132
false,2484
true,3872
false,2225
false,2678
true,10243
true,3855
true,150793
true,6344
true,6180
true,4968
true,4060
false,2708
true,7469
true,5130
true,4731
false,2682
true,7184
true,9276
false,2975
true,4077
true,3942
false,2953
true,4055
false,2404
true,9851
false,2389
true,4099
true,3821
true,4481
true,3923
true,3807
false,2778
false,4089
true,5720
true,7010
true,5325
true,4240
true,4449
true,4037
true,4161
false,2894
true,3937
false,2408
true,3811
false,2497
true,4066
true,4351
true,3862
true,5344
false,2510
true,4121
false,2788
false,2253
true,4609
false,8597
true,4175
true,3866
true,301980
false,2450
false,2373
false,2250
false,2523
true,4135
false,2299
true,4825
false,2245
true,3919
false,2334
true,3723
false,3733
false,2987
true,6941
true,4324
false,2572
false,2374
true,4552
false,2431
true,4025
true,3864
true,4303
false,2481
true,4353
false,2224
true,3888
false,2423
false,2790
false,2537
false,2579
false,2419
false,2729
true,4132
true,4556
false,2446
true,4235
false,2899
true,4073
true,4509
false,2406
false,2567
true,4473
true,4022
false,2347
true,4347
false,2556
true,3945
true,4247
false,2664
false,2339
true,4404
false,2311
true,3987
true,3840
true,3943
false,2627
false,2293
true,3940
true,5450
true,3892
true,3903
false,2368
true,4269
true,4360
true,4522
true,4156
true,4112
false,4178
false,2740
false,13621
false,2758
true,5867
false,2467
false,2428
true,4427
false,2730
true,4483
true,7030
true,12132
false,3323
false,2585
true,66284
true,4343
false,2562
false,3722
true,8847
true,4253
false,3469
false,2370
false,3231
false,2478
false,4712
true,4362
false,4277
true,4139
false,3408
false,2821
false,2377
true,5350
true,5061
false,2376
false,2538
true,6534
false,3946
true,4678
true,5561
true,4513
false,2222
true,8432
false,4263
false,3368
true,8140
true,4568
false,2779
false,2454
true,4489
true,5044
false,2449
true,4682
true,4486
false,2646
false,2281
true,4304
false,2304
true,4160
true,4514
false,3586
false,3175
false,2283
false,2387
true,4435
false,2407
false,2379
false,2234
false,3288
true,4456
true,4241
false,2320
false,5100
true,4786
true,4170
true,4066
false,2379
true,4049
false,3623
false,3205
true,4305
false,2386
true,4089
true,4765
false,3539
false,3238
true,4161
true,5039
true,4239
true,4100
false,3382
false,2825
false,14313
false,3503
false,2577
false,2520
true,7857
true,4554
true,4561
false,3549
false,2444
true,4704
true,4469
false,2830
true,4156
false,2760
false,2609
false,2210
true,4300
true,4106
false,3727
true,4848
false,2464
true,4199
true,6172
false,2723
false,3272
false,2449
false,3667
false,2345
false,4264
false,4771
true,4428
true,35456
false,28743
false,2692
true,9628
false,16273
true,8241
false,3397
false,4327
false,6131
false,2645
true,4612
true,9192
false,8793
true,8744
true,8060
true,8597
true,13320
false,2745
