is_write_op,time_in_nanoseconds
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
true,10888
false,7607
false,952
true,4748
false,878
true,5337
true,8378
false,1129
true,5511
false,940
true,7995
true,3867
false,1002
true,7004
true,5468
true,4079
false,959
false,998
true,3409
true,3494
false,817
false,1289
true,4960
true,4367
true,3687
true,7718
true,4313392
false,1090
true,3884
true,3128
true,3215
true,3137
true,4499
true,3231
true,3673
true,3154
false,1019
true,3041
false,884
true,3081
true,3704097
true,4000221
true,16335
true,3504
true,9381
false,1038
false,812
true,3320
true,3307
true,3195
false,858
true,3379
true,3249
false,1004
true,4347987
false,1954
true,4296805
true,4373075
true,4388131
false,1302
false,1220
true,4544160
false,976
true,4540096
true,4034
true,4552023
true,4543414
false,1218
false,752
true,4514831
false,1047
false,1185
true,4550307
false,959
false,899
false,814
true,4749
true,4200
true,6980
false,916
true,5229
true,6683
false,1085
false,975
true,4065862
false,1061
true,4055674
false,1187
false,1152
false,1675
true,7191
true,14562
true,4285
true,5520
true,4088
false,784
true,6078
true,3341
false,669
false,672
false,2672
false,654
false,1121
false,881
true,4476
false,736
false,853
false,912
false,785
true,4170
false,886
true,5740
false,736
true,5234
false,837
false,784
true,8250
false,1118
true,4878
false,1085
false,1026
false,717
false,760
false,817
true,4771
true,4057
true,3709
false,801
true,4246
false,832
false,878
true,6097
true,6218
false,832
true,5122
false,685
true,3472
false,883
true,4365
true,3533
true,5252
false,1242
false,1060
true,4239
false,1039
false,1411
false,1017
true,4393
true,3860
true,4177
true,11762
true,4091
true,14577
true,4007
true,1771
true,3041
true,5684
true,5521
true,2910
true,4955
true,8124
true,4312
false,913
false,775
true,3663
true,5237
true,5711
false,824
false,1091
false,1260
true,5048
true,5709
true,5275
true,3651
false,829
false,945
false,877
true,3974
false,1174
true,3428
false,896
false,901
false,804
false,1029
false,974
true,4944
true,8512
false,1019
true,3469
false,961
true,3600
false,782
true,4447
false,859
true,3409
false,868
false,822
false,2750
true,3655
false,784
true,3274
false,704
true,7189
true,3040
true,6683
false,750
true,3099
false,705
true,3005
true,7625
false,1030
false,903
true,3939
true,13415
false,737
false,799
true,3740
true,5135
false,922
true,3652
false,864
true,7703
false,815
true,3124
false,809
false,782
false,709
true,7836
true,3176
true,6856
true,2808
true,8915
true,2837
false,796
true,2776
false,764
true,3526
true,2840
false,827
false,752
false,1288
true,6628
false,989
false,702
false,1416
true,7436
true,4503
false,956
false,846
false,1049
false,700
false,901
true,5036
true,6137
true,4744
true,4380
false,963
true,3862
true,5126
true,6823
true,3228
true,3934
false,1164
false,1049
false,1022
true,6167
false,1019
true,4360
true,4748
false,1034
true,3746
true,9265
false,919
false,812
false,892
false,961
true,3740
true,3604
false,928
false,761
true,3791
true,11224
true,3404
false,899
false,775
true,4485
true,5319
false,714
false,730
true,3896
false,960
true,4099
true,6718
true,6624
false,803
true,5603
true,3114
false,848
false,827
true,4585
true,5653
false,917
true,5518
true,3578
true,7314
true,3493
true,7347
false,930
true,7507
false,765
true,3477
true,3429
false,762
false,705
true,3449
false,757
true,3530
false,781
false,737
true,3227
false,732
false,756
true,9825
false,1384
true,5230
false,1098
true,4340
false,816
true,3021
true,2397
true,2904
false,819
true,2695
false,808
true,6602
true,2607
true,2559
true,2480
true,2636
false,712
true,2652
true,6103
false,806
true,2712
true,2668
true,6073
true,2458
true,7116
false,772
true,7107
false,806
true,2641
true,2569
false,777
true,2788
false,778
true,6559
false,760
true,6358
true,2516
false,770
true,3624
true,7446
true,3344
false,857
true,2667
true,9494
false,823
false,835
true,10215
false,748
false,625
true,2817
false,765
true,2727
false,783
true,2616
false,723
true,6744
true,2576
true,2619
true,7360
false,797
false,845
true,10601
true,5326
false,983
true,4521
true,9974
true,5195
false,1089
false,765
true,5415
false,975
true,3296
true,2368
false,787
true,5566
false,901
false,754
false,1124
false,987
false,833
false,898
true,4287
false,1047
true,4333
false,1060
true,5388
true,3641
true,4367
false,1143
false,854
false,777
true,12261
true,4203
true,8205
true,3173
false,802
true,2267
false,758
false,571
false,589
true,5595
true,2572
true,2258
true,5284
true,2225
false,701
false,515
true,2477
false,714
false,604
false,550
false,563
false,572
false,531
true,4632
true,4498
true,3532
false,1194
false,943
false,931
true,4158
false,2779
true,4568
false,1074
false,1084
true,5382
false,1046
true,3150
false,937
true,2944
true,11108
true,4785
true,5139
false,1127
true,3081
false,1183
false,1027
false,881
true,3680
true,5698
true,2777
false,957
true,2340
true,7426
false,981
true,3558
false,889
false,725
true,3120
false,825
true,3098
false,886
true,2839
true,9126
true,3532
true,3514
true,7717
false,986
false,782
true,7112
true,6613
true,3027
true,3063
true,6712
true,2773
false,923
false,889
false,623
false,618
false,556
true,3044
false,757
true,3059
true,3244
false,935
true,7850
false,959
true,6796
true,6483
false,1027
false,666
true,7219
false,809
true,8898
true,2779
true,2567
true,2881
false,961
true,2964
true,6656
true,18990
false,943
true,7539
false,883
false,725
true,6634
false,890
false,3094
false,1009
false,786
false,798
false,673
false,629
false,572
true,7643
false,896
false,563
false,676
true,3186
true,3104
true,7098
true,3071
false,1052
true,3033
true,3054
false,935
false,793
false,911
true,4932
false,893
true,8992
false,729
false,866
false,1040
false,1017
true,10007
false,1440
false,849
true,9538
true,7527
false,838
false,711
false,653
true,2948
true,11336
false,891
false,693
false,577
true,3764
false,912
true,2940
false,889
true,2797
true,2963
true,7089
false,896
false,816
true,3256
false,894
true,9363
false,950
false,691
false,603
true,2948
true,3133
false,830
true,4891
false,1153
true,8253
true,4151
false,1701
false,1105
true,9391
false,1089
false,849
false,696
true,3336
false,948
false,771
true,3311
false,898
true,3289
false,868
true,3159
false,1305
false,840
false,686
false,644
false,1191
false,952
false,689
false,737
false,1156
false,881
false,809
false,1178
true,4135
true,3857
false,1136
true,4333
true,5268
true,5631
false,1562
false,848
true,11792
false,1124
false,812
true,13780
false,1275
false,796
false,8728
false,1802
true,5111
true,3624
true,3754
false,24020
true,4926
true,4116
false,1165
false,545
true,4575
false,1312
false,1290
false,1440
false,848
false,1213
false,1744
false,810
false,726
false,1094
true,4868
true,7090
false,579
