is_write_op,time_in_nanoseconds
false,0
false,0
false,0
false,0
false,0
false,0
true,8867
true,1415
true,1351
true,1147
false,8466
true,1281
true,1662
false,1842
true,1402
true,2698
true,1469
true,1500
true,2843
true,1478
true,3324
true,1458
true,2473
true,3706
true,2654
false,3220
true,1917
true,3292
true,3097
true,2471
true,2272
true,2850
true,2223
true,1651
true,1705
true,1699
true,1642
true,3826
true,2368
true,2300
true,3142
false,2553
true,5587
true,2286
true,2217
true,2247
true,1999
true,1933
true,3278
true,8108
true,700921
true,535807
true,5374
true,2052
true,427786
false,2476
true,372867
true,1859
true,1336
false,1975
true,1222
true,2878
true,1358
true,4125
true,2342
true,2399
true,209817
true,73759
true,2869
true,3480299
true,31227
true,2293
true,2125
true,2002
true,1389
true,1367
true,1092
true,2228
true,1140
true,798
true,4718
true,1474
true,1498
true,1111
true,1208
true,1510
false,1900
true,1363
true,1170
true,1552
true,800
true,92637
true,1461
true,1708
true,1258
true,1963
true,1490
true,2458
true,982
true,958
true,919
true,1213
true,1436
true,2623
true,1419
false,1893
true,1147
true,1802
true,1621
true,3003
true,2232
false,2540
true,1517
true,1969
true,2882
true,3284
true,2723
true,1450
true,1473
true,1025
true,1107
false,1976
true,981
false,1615
true,1198
true,1035
true,985
true,949
true,1026
true,1252
true,1136
true,1084
true,1129
true,1213
true,984
true,950
true,1523
true,1540
false,1979
false,1857
false,3236
true,3039
true,3109
true,4360
false,2159
true,2164
true,3300
true,3289
true,2266
true,3600
true,1650
true,1350
true,1263
true,1357
true,2489
true,1658
true,1265
true,1297
true,1615
true,1383
false,2710
true,1330
true,1306
true,3167
true,1375
false,2160
true,2643
true,1605
true,1246
true,1173
true,3509
true,4894
true,2252
true,2266
false,4320
true,1456
true,1322
true,2195
true,1706
true,1300
false,2523
true,1359
true,2256
true,1453
true,1297
true,1273
true,1292
true,1941
true,914
true,853
true,890
true,897
true,2789
true,1165
true,2012
true,3229
true,1262
true,2419
true,1412
true,2946
true,2064
true,1800
true,1569
true,5131
true,2350
true,2525
true,2567
true,1824
true,2513
false,2497
false,2587
true,3195
true,1633
true,2601
true,1414
true,1616
true,1173
true,1161
true,1617
true,1190
true,1097
false,2149
true,2577
true,1621
true,1050
true,852
true,865
true,851
true,912
true,876
true,848
true,804
true,911
true,2347
true,3488
true,1417
true,856
true,843
true,890
false,1724
true,979
true,890
true,1135
true,3506
true,1309
true,992
true,1050
true,815
true,913
true,847
true,1012
true,2699
true,2733
true,2633
true,1917
true,2769
true,2265
true,2598
true,3622
true,2434
true,2999
true,2628
true,2436
true,2008
true,2288
true,1865
true,3411
true,6069
true,1487
true,991
true,955
true,1093
true,1041
true,1135
true,995
true,934
false,2027
false,1542
true,5660
true,6575
true,3881
true,3397
true,181338
true,2300
true,1818
true,1708
true,1427
true,1772
true,1532
true,1307
true,1366
true,1401
false,2931
true,1421
true,1954
true,1459
true,2956
true,1775
true,1722
true,1466
true,1356
true,1410
true,1324
false,2688
false,2142
true,1699
true,1236
true,1003
true,1634
true,1809
true,1103
true,1027
true,1071
true,1201
true,1043
true,1003
true,947
true,1059
true,977
true,1076
true,1074
true,1033
true,1024
true,2159
true,1095
false,2160
true,1100
false,1771
true,1047
true,1004
true,973
false,1817
true,1127
true,1107
true,983
true,1097
true,1029
true,1019
true,1016
true,1061
true,1070
true,1137
true,1081
true,967
true,996
true,1114
true,1019
true,975
true,1323
true,1227
true,983
true,1027
true,1014
true,1010
true,1036
true,1012
true,1140
true,1019
true,944
true,982
true,908
true,872
true,842
true,1012
true,1868
true,1809
true,1899
true,1501
true,2883
false,2867
true,2496
false,2849
true,2855
true,2763
true,1105
true,2076
true,1178
true,1080
true,2623
true,1656
false,2851
true,2253
true,1942
true,1734
true,2163
true,2550
true,2518
true,1115
true,1836
true,2795
true,1367
true,912
true,1598
true,906
true,1782
true,1128
true,2656
true,1854
false,1938
true,1411
true,1844
true,1495
true,1910
true,1797
true,2135
true,1478
true,1825
true,2243
true,1835
true,7198
true,1748
false,2219
true,1366
true,1468
true,1031
true,1034
true,986
true,1023
true,1096
true,1008
false,2330
true,1050
true,1093
true,1090
true,1004
true,966
true,1008
true,3261
true,989
true,965
true,911
false,3364
true,1036
false,1866
true,1876
true,1546
false,2091
false,1365
true,1088
true,871
true,3866
false,1732
true,1050
true,1026
true,954
true,820
true,899
true,848
true,1259
true,974
true,944
true,932
true,963
true,858
true,856
true,808
true,946
false,1915
true,983
false,1690
true,958
true,936
true,932
true,1104
true,2184
true,2675
true,3278
false,3319
true,1661
true,2335
true,2567
true,2261
true,1620
true,2095
true,1178
true,1844
true,1104
true,2305
true,711
true,1734
true,1375
true,7116
true,1290
true,1061
false,2713
true,1136
false,2088
true,1213
true,1066
false,2070
true,1083
true,1292
true,1239
true,1058
true,1063
true,1050
true,997
true,1069
true,1201
true,1125
true,1053
true,1094
true,1139
true,1980
true,1998
false,3973
true,2088
true,2106
true,1670
true,883
true,2580
true,3274
true,3078
true,4613
false,3511
true,2057
true,987
true,1462
true,2405
false,2309
true,1125
true,927
true,1141
true,858
true,1457
true,874
true,871
true,1501
true,854
true,895
true,844
true,1456
true,1058
true,754
true,808
true,728
true,754
true,850
true,766
true,823
true,888
true,899
true,957
true,1223
true,1114
true,845
true,963
false,2244
true,1323
true,1158
true,910
true,738
true,816
true,898
true,869
true,845
true,895
true,857
true,793
true,918
true,1362
true,1086
true,1097
true,820
true,1141
true,939
true,729
true,750
true,684
true,734
true,738
false,2050
false,1525
true,989
true,2351
true,1738
true,975
true,966
true,826
true,1492
true,822
true,734
false,2095
true,1190
true,841
true,681
true,771
true,708
true,650
true,600
true,620
true,615
true,688
true,587
true,671
true,605
true,611
true,720
true,913
true,743
true,584
true,775
true,776
true,636
true,733
false,2023
true,633
true,637
true,777
false,1624
true,878
false,1574
true,815
true,654
true,696
false,1574
true,860
true,698
true,693
true,737
true,611
true,682
false,1683
true,733
true,608
true,688
true,571
false,1604
true,719
true,662
true,577
true,693
true,702
true,595
true,596
false,1585
true,724
true,564
true,890
true,719
true,909
true,879
true,1335
true,768
true,665
true,729
true,653
true,814
true,729
true,714
true,719
true,761
true,761
true,775
false,1872
true,786
true,760
true,815
true,705
true,712
true,673
true,634
true,635
true,754
true,721
true,691
true,733
false,1596
false,1128
true,871
true,684
true,712
true,906
