is_write_op,time_in_nanoseconds
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
false,0
true,38807
true,30804
false,18997
false,3440
true,2805
false,3184
true,4746
true,4372
true,6149
false,3493
true,3507
false,4226
false,4140
true,2616
false,3398
false,2709
false,2689
true,2577
false,4616
false,7538
true,4036
true,35997
true,7538
false,4343
false,4240
false,4100
true,2189
true,4583
true,4939
true,35374
true,3632
true,2551
false,3598
false,2706
false,2956
true,2232
true,2301
true,2157
false,3674
false,2864
true,2522
false,3164
false,2759
true,2482
true,3545
true,20675
true,4223
false,4076
true,2970
false,3751
false,3200
false,3186
true,2545
true,2263
true,3750
true,47000
true,2434
true,2143
true,3046
false,3388
true,2061
true,2065
true,2323
true,1985
true,2058
false,3120
true,2510
false,4494
true,4958
false,3705
true,2738
true,4345
true,2310
false,3837
false,3120
true,2442
false,3230
false,2942
false,2949
false,2678
true,2426
true,7987
true,3829
true,3123
true,2398
true,2098
true,2097
true,2563
false,3959
false,2803
false,3271
false,2979
false,2713
false,2711
false,2932
true,33921
false,2739
false,13047
false,4494
true,3370
false,2951
false,3129
true,9559
true,2071
false,3063
true,2078
true,2474
false,2927
true,2083
true,2255
false,2933
true,34276
false,3171
true,2825
false,3071
false,2879
false,2884
false,2743
false,2742
true,2157
true,2176
false,2912
false,2943
false,2741
false,3085
false,3093
true,3968
true,2049
true,2617
false,3610
false,2838
true,1997
true,2747
false,3883
false,2989
true,2044
false,2882
true,2096
true,15304
false,2901
true,2203
true,2053
true,2044
true,2248
false,3058
true,2022
true,2120
false,2786
false,2765
false,4865
false,2705
false,2874
true,6822
true,2028
true,2042
true,4713
true,2238
false,2901
true,2160
true,5700
false,2857
false,3742
false,2703
true,2798
false,2762
true,2564
false,2846
false,2761
true,2236
false,6009
true,3321
true,2234
true,2261
false,4454
false,2791
false,2758
true,2664
false,2895
false,2820
true,1987
true,2228
false,2824
true,2830
false,2971
false,3055
false,2762
true,2600
false,3065
true,2109
false,2669
false,2898
false,2687
true,2190
false,2772
true,2436
false,2896
false,2740
false,2672
false,2694
true,2690
true,2599
true,2173
true,2494
false,4747
false,3033
false,2943
false,2821
false,2911
false,3097
true,2060
true,3304
false,2887
false,4862
false,5325
false,2799
false,2799
false,2804
true,2536
false,2900
false,6185
true,2181
false,2945
true,2111
true,1980
false,2814
false,6203
false,4924
true,3370
true,2039
true,2280
true,2078
false,12312
true,4985
true,2259
false,3924
false,2793
false,2753
false,2884
false,2741
false,2946
false,2823
false,2805
true,2006
true,1997
true,2039
false,3165
true,2329
true,1999
false,2924
true,1988
true,2128
false,2886
true,2167
false,2758
true,2012
true,3110
true,6883
false,3074
true,5137
false,2802
false,2876
false,2852
false,2659
false,2745
false,2724
true,2394
true,2671
false,3005
false,2702
true,2277
false,2761
true,2570
false,3029
true,2256
true,2325
true,3141
true,2301
true,2232
false,6001
true,2867
true,2233
true,2250
false,3055
true,2504
true,2584
false,2819
true,2292
true,2301
false,2813
true,2418
false,4212
true,2222
true,2216
true,2404
true,2224
false,3725
false,4118
false,3004
false,10293
true,2679
true,2253
false,2929
false,2821
true,2598
false,2904
true,2293
false,2654
true,2858
true,2285
true,2730
false,3285
false,2826
false,3013
true,2405
false,4187
false,3759
false,3890
true,2480
false,3068
true,2277
true,2310
true,2297
false,6618
true,2419
false,3015
true,2285
true,4178
false,8757
true,2478
false,4164
false,3110
false,3267
true,2443
true,2285
true,2476
false,6224
false,4146
false,3000
false,4820
false,3173
false,2816
false,4094
true,2375
true,5635
false,3022
true,2315
true,2286
true,2273
true,4201
true,2442
true,7155
true,2328
false,2986
true,2259
true,2418
true,2200
true,2297
true,2233
false,3140
true,2743
true,7765
true,2307
false,4007
true,2387
false,2867
true,126157
false,3055
false,4114
false,2780
true,2364
true,2454
true,2601
true,2310
false,2952
false,3399
false,2859
true,2486
false,2885
true,2296
false,4703
false,3827
false,2809
false,2791
true,2424
true,2780
false,2867
true,2286
true,2298
true,2428
false,13612
false,9120
true,2420
false,5827
true,4484
false,3877
false,4228
true,2561
true,2947
false,3156
false,3947
true,2573
true,2227
true,2466
false,3149
false,3836
false,2931
false,2780
false,3910
true,2425
false,4093
true,2451
true,2358
false,3530
true,9884
true,2458
false,5449
true,3090
true,2309
false,4491
true,2276
true,2282
true,2578
true,2493
false,3266
false,3982
true,2289
false,2818
false,7875
true,2427
false,3811
false,3174
false,5030
false,3022
false,2758
true,2801
true,2552
false,2991
false,3949
false,2873
false,2930
true,2507
true,2264
false,2958
true,2587
false,2906
false,4131
true,2385
false,2805
true,2411
false,4047
true,3728
true,2405
false,4339
true,2333
false,3167
false,3995
true,2429
true,2280
true,2383
false,15708
true,4512
false,4179
true,2349
true,2207
false,4140
false,2972
false,15612
false,3836
true,4087
true,2935
false,5873
true,2148
true,2176
true,2173
true,2313
false,3951
false,2961
false,3691
true,2204
false,3929
true,2290
true,2175
false,2810
false,2610
true,2341
false,4015
false,2747
true,4493
false,6239
true,3796
false,3935
true,2969
true,2218
false,4191
false,2849
true,2175
false,4127
false,3632
false,3626
false,2845
false,2690
false,2638
true,2452
false,2875
false,3275
false,3049
true,2280
true,2185
false,2728
false,2686
false,4004
true,2314
true,2185
true,2177
false,2926
true,4994
false,3909
false,2725
false,2671
false,3659
true,2324
true,2394
false,3894
false,3648
false,3969
true,2392
false,3833
true,2245
false,2683
true,2202
false,2612
true,2956
true,2160
true,2179
true,2211
false,2986
false,3758
false,3130
false,2631
true,2266
false,3803
false,2656
true,12752
true,2377
true,2156
true,5119
true,2722
true,5447
true,3795
false,6913
false,4245
false,3793
true,4052
true,4709
false,5996
false,2919
false,4690
true,2382
false,3643
true,2716
false,3728
true,2400
true,2174
false,3676
true,3005
true,3587
false,4493
false,3008
false,7500
true,2454
false,2698
true,2108
true,2161
true,2460
true,2113
false,4060
true,2167
false,3666
true,2168
true,11309
true,4947
true,2515
true,2333
false,5346
false,3223
false,4008
true,2264
true,4613
false,2714
false,4258
false,2763
false,3660
true,2364
true,2178
false,2920
true,6508
true,2192
false,2787
true,2183
true,2102
true,2360
true,2286
false,2558
true,2176
false,3173
true,2248
true,2205
false,2812
true,2197
true,2127
false,2884
true,2262
false,3727
true,2419
true,2179
false,3681
true,2334
false,4011
true,2128
false,2811
true,2156
